Experiment Parameter is: scenario:our-solar-luminosity, solar-luminosity = 1.0, albedo-of-surface = 0.4, start-%-whites = 20, albedo-of-whites = 0.75, start-%-blacks = 20, albedo-of-blacks = 0.25, total ticks = 1221, start-male-rabbits = 150, start-female-rabbits = 200.
tick,num-white-daisy,num-black-daisy,luminosity,global-temperature,num-male-rabbits,num-female-rabbits
    0,  168,  168,1.000,  0.0,  150,  200
    1,  107,  142,1.000, 25.4,  135,  182
    2,  156,  133,1.000, 31.6,  128,  174
    3,  235,  120,1.000, 32.9,  125,  174
    4,  337,  114,1.000, 30.4,  132,  178
    5,  434,  127,1.000, 25.3,  138,  171
    6,  500,  160,1.000, 19.2,  142,  164
    7,  544,  181,1.000, 14.0,  147,  152
    8,  546,  219,1.000, 10.0,  156,  162
    9,  517,  248,1.000,  8.2,  154,  153
   10,  492,  270,1.000,  8.7,  165,  155
   11,  461,  291,1.000, 10.1,  165,  155
   12,  444,  315,1.000, 12.2,  164,  147
   13,  426,  331,1.000, 14.1,  172,  167
   14,  411,  346,1.000, 15.8,  185,  176
   15,  397,  363,1.000, 17.4,  199,  184
   16,  374,  378,1.000, 18.9,  211,  204
   17,  362,  394,1.000, 20.7,  215,  213
   18,  368,  406,1.000, 22.1,  219,  233
   19,  356,  395,1.000, 22.8,  234,  253
   20,  357,  399,1.000, 23.4,  245,  268
   21,  366,  378,1.000, 23.8,  262,  284
   22,  374,  371,1.000, 23.4,  279,  304
   23,  376,  371,1.000, 22.8,  294,  320
   24,  371,  372,1.000, 22.5,  314,  333
   25,  371,  360,1.000, 22.5,  333,  348
   26,  353,  385,1.000, 22.4,  345,  370
   27,  339,  379,1.000, 23.3,  353,  368
   28,  342,  389,1.000, 24.2,  370,  373
   29,  354,  387,1.000, 24.6,  386,  365
   30,  354,  391,1.000, 24.3,  395,  372
   31,  337,  390,1.000, 24.2,  412,  355
   32,  366,  388,1.000, 24.8,  410,  355
   33,  367,  368,1.000, 24.0,  405,  351
   34,  368,  373,1.000, 23.4,  395,  346
   35,  371,  380,1.000, 23.1,  395,  338
   36,  368,  361,1.000, 22.9,  382,  339
   37,  376,  360,1.000, 22.7,  376,  337
   38,  380,  360,1.000, 22.3,  381,  334
   39,  370,  357,1.000, 22.0,  375,  325
   40,  378,  358,1.000, 22.1,  361,  353
   41,  367,  367,1.000, 21.9,  353,  366
   42,  371,  370,1.000, 22.3,  356,  372
   43,  367,  368,1.000, 22.4,  348,  384
   44,  368,  364,1.000, 22.6,  350,  400
   45,  350,  377,1.000, 22.6,  346,  411
   46,  354,  390,1.000, 23.4,  353,  413
   47,  359,  378,1.000, 23.8,  355,  415
   48,  361,  384,1.000, 23.6,  355,  406
   49,  371,  374,1.000, 23.6,  348,  400
   50,  361,  367,1.000, 23.1,  338,  399
   51,  376,  363,1.000, 23.1,  335,  399
   52,  378,  351,1.000, 22.5,  355,  384
   53,  384,  358,1.000, 22.1,  356,  376
   54,  381,  341,1.000, 21.7,  355,  386
   55,  361,  362,1.000, 21.4,  361,  383
   56,  363,  358,1.000, 22.3,  363,  372
   57,  369,  364,1.000, 22.6,  371,  367
   58,  365,  368,1.000, 22.5,  368,  362
   59,  370,  384,1.000, 22.7,  380,  362
   60,  351,  376,1.000, 22.8,  386,  368
   61,  335,  396,1.000, 23.4,  389,  369
   62,  346,  382,1.000, 24.6,  377,  363
   63,  361,  396,1.000, 24.6,  377,  341
   64,  362,  383,1.000, 24.1,  364,  348
   65,  367,  362,1.000, 23.8,  353,  342
   66,  382,  365,1.000, 23.2,  359,  331
   67,  365,  369,1.000, 22.4,  359,  326
   68,  347,  373,1.000, 22.6,  363,  322
   69,  356,  379,1.000, 23.5,  368,  326
   70,  356,  360,1.000, 23.6,  356,  341
   71,  377,  353,1.000, 23.5,  351,  341
   72,  377,  363,1.000, 22.6,  349,  342
   73,  374,  354,1.000, 22.3,  355,  347
   74,  369,  363,1.000, 22.1,  362,  358
   75,  360,  365,1.000, 22.3,  367,  366
   76,  353,  388,1.000, 22.8,  369,  369
   77,  349,  392,1.000, 23.5,  370,  379
   78,  358,  374,1.000, 24.0,  364,  377
   79,  366,  376,1.000, 23.8,  354,  381
   80,  376,  362,1.000, 23.4,  347,  387
